Driver;Cmake;Type
aaigrid;;raster
adrg;;raster
aigrid;;raster
airsar;;raster
arg;;raster
blx;;raster
bmp;yes;raster
bsb;;raster
ceos;;raster
ceos2;;raster
coasp;;raster
cosar;;raster
ctg;;raster
dds;;raster
dimap;yes;raster
dods;;raster
dted;;raster
e00grid;;raster
ecw;;raster
elas;;raster
envisat;;raster
epsilon;;raster
ers;;raster
fit;;raster
fits;;raster
georaster;;raster
gff;;raster
gif;yes;raster
grass;;raster
grib;;raster
gsg;;raster
gta;;raster
gtiff;yes;raster
gxf;;raster
hdf4;;raster
hdf5;;raster
hf2;;raster
hfa;yes;raster
idrisi;;raster
ilwis;;raster
ingr;;raster
iris;;raster
iso8211;yes;raster
jaxapalsar;;raster
jdem;;raster
jp2kak;;raster
jpeg;yes;raster
jpeg2000;;raster
jpegls;;raster
jpipkak;;raster
kmlsuperoverlay;;raster
l1b;;raster
leveller;;raster
map;yes;raster
mbtiles;;raster
mem;yes;raster
mrsid;;raster
mrsid_lidar;;raster
msg;;raster
msgn;;raster
netcdf;;raster
ngsgeoid;;raster
nitf;;raster
northwood;;raster
ogdi;;raster
openjpeg;;raster
ozi;yes;raster
pcidsk;;unified
pcraster;;raster
pdf;;unified
pds;;raster
pgchip;;raster
png;yes;raster
postgisraster;yes;raster
r;;raster
rasdaman;;raster
rasterlite;;raster
raw;yes;raster
rik;;raster
rmf;;raster
rs2;;raster
saga;yes;raster
sde;;raster
sdts;;raster
sgi;;raster
srtmhgt;;raster
terragen;;raster
til;yes;raster
tsx;;raster
tt;;raster
usgsdem;;raster
vrt;yes;raster
wcs;;raster
webp;;raster
wms;yes;raster
xpm;;raster
xyz;;raster
zlib;yes;raster
zmap;;raster
aeronavfaa;;vector
arcgen;;vector
arcobjects;;vector
avc;;vector
bna;;vector
cartodb;;vector
CMakeLists.txt;;vector
couchdb;;vector
csv;yes;vector
dgn;;vector
dods;;vector
dwg;;vector
dxf;yes;vector
edigeo;;vector
elastic;;vector
filegdb;;vector
fme;;vector
generic;yes;vector
geoconcept;;vector
geojson;yes;vector
geomedia;;vector
georss;;vector
gft;;vector
gme;;vector
gml;yes;vector
gmt;;vector
GNUmakefile;;vector
gpkg;yes;vector
gpsbabel;;vector
gpx;yes;vector
grass;;vector
gtm;;vector
htf;;vector
idb;;vector
idrisi;;vector
ili;;vector
ingres;;vector
kml;yes;vector
libkml;yes;vector
makefile.vc;;vector
mdb;;vector
mem;yes;vector
mitab;yes;vector
mssqlspatial;;vector
mysql;yes;vector
nas;;vector
ntf;;vector
null;;vector
oci;;vector
odbc;;vector
ods;;vector
ogdi;;vector
ogr_attrind.h;;vector
ogr_formats.html;;vector
ogrsf_frmts.dox;;vector
ogrsf_frmts.h;;vector
openair;;vector
openfilegdb;yes;vector
osm;;vector
pds;;vector
pg;yes;vector
pgdump;;vector
pgeo;;vector
rec;;vector
s57;yes;vector
sde;;vector
sdts;;vector
segukooa;;vector
segy;;vector
selafin;;vector
shape;yes;vector
sosi;;vector
sqlite;yes;vector
sua;;vector
svg;;vector
sxf;yes;vector
tiger;;vector
tt;;vector
vfk;;vector
vrt;yes;vector
walk;;vector
wasp;;vector
wfs;yes;vector
xls;;vector
xlsx;;vector
xplane;;vector
